game_id,away_team,home_team,away_score,home_score
145,樂天桃猿,統一7-ELEVEn獅,4,4
146,中信兄弟,味全龍,7,10
147,統一7-ELEVEn獅,富邦悍將,7,3
148,統一7-ELEVEn獅,富邦悍將,9,5
149,樂天桃猿,富邦悍將,6,3
150,味全龍,中信兄弟,1,0
151,樂天桃猿,中信兄弟,9,2
152,富邦悍將,統一7-ELEVEn獅,3,4
153,樂天桃猿,味全龍,2,5
154,富邦悍將,統一7-ELEVEn獅,5,2
155,中信兄弟,味全龍,2,6
156,富邦悍將,統一7-ELEVEn獅,2,4
157,統一7-ELEVEn獅,中信兄弟,6,0
158,樂天桃猿,富邦悍將,1,6
159,統一7-ELEVEn獅,中信兄弟,0,1
160,味全龍,富邦悍將,5,8
161,樂天桃猿,中信兄弟,4,6
162,味全龍,富邦悍將,0,6
163,味全龍,富邦悍將,4,3
164,統一7-ELEVEn獅,樂天桃猿,7,8
165,味全龍,中信兄弟,5,3
166,統一7-ELEVEn獅,樂天桃猿,4,10
167,富邦悍將,中信兄弟,4,3
168,統一7-ELEVEn獅,樂天桃猿,5,4
169,富邦悍將,味全龍,1,4
170,統一7-ELEVEn獅,中信兄弟,3,0
171,富邦悍將,味全龍,1,9
172,樂天桃猿,中信兄弟,3,4
173,統一7-ELEVEn獅,味全龍,1,8
174,樂天桃猿,中信兄弟,3,4
175,味全龍,統一7-ELEVEn獅,0,0
176,樂天桃猿,富邦悍將,14,6
177,樂天桃猿,富邦悍將,10,3
178,中信兄弟,統一7-ELEVEn獅,2,1
179,味全龍,富邦悍將,1,0
180,中信兄弟,統一7-ELEVEn獅,4,0
181,樂天桃猿,味全龍,5,1
182,中信兄弟,統一7-ELEVEn獅,8,3
183,樂天桃猿,味全龍,8,4
184,中信兄弟,富邦悍將,2,6
185,樂天桃猿,味全龍,3,4
186,統一7-ELEVEn獅,富邦悍將,1,4
187,味全龍,統一7-ELEVEn獅,1,3
188,中信兄弟,樂天桃猿,11,3
189,味全龍,統一7-ELEVEn獅,1,4
190,富邦悍將,樂天桃猿,3,5
191,中信兄弟,統一7-ELEVEn獅,12,2
192,富邦悍將,樂天桃猿,3,8
193,味全龍,中信兄弟,3,4
194,富邦悍將,樂天桃猿,2,5
195,味全龍,中信兄弟,2,1
196,富邦悍將,統一7-ELEVEn獅,7,3
197,味全龍,中信兄弟,3,5
198,樂天桃猿,統一7-ELEVEn獅,0,2
199,富邦悍將,味全龍,1,2
200,中信兄弟,樂天桃猿,5,11
201,統一7-ELEVEn獅,味全龍,7,13
202,中信兄弟,樂天桃猿,1,3
203,統一7-ELEVEn獅,味全龍,1,3
204,富邦悍將,樂天桃猿,7,3
205,統一7-ELEVEn獅,味全龍,6,8
206,中信兄弟,富邦悍將,1,6
207,統一7-ELEVEn獅,樂天桃猿,10,6
208,中信兄弟,富邦悍將,7,4
209,味全龍,樂天桃猿,4,0
210,中信兄弟,富邦悍將,0,3
211,富邦悍將,中信兄弟,10,3
212,味全龍,統一7-ELEVEn獅,2,0
213,富邦悍將,中信兄弟,0,1
214,樂天桃猿,統一7-ELEVEn獅,9,3
215,味全龍,中信兄弟,0,7
216,樂天桃猿,統一7-ELEVEn獅,11,12
217,富邦悍將,味全龍,4,0
218,樂天桃猿,統一7-ELEVEn獅,1,3
219,富邦悍將,味全龍,3,2
220,樂天桃猿,中信兄弟,11,6
221,富邦悍將,味全龍,4,2
222,統一7-ELEVEn獅,中信兄弟,1,2
223,味全龍,樂天桃猿,5,6
224,統一7-ELEVEn獅,中信兄弟,1,3
225,味全龍,樂天桃猿,2,5
226,富邦悍將,中信兄弟,4,2
227,統一7-ELEVEn獅,樂天桃猿,7,8
228,富邦悍將,中信兄弟,14,7
229,味全龍,統一7-ELEVEn獅,5,6
230,富邦悍將,中信兄弟,0,2
231,味全龍,統一7-ELEVEn獅,4,1
232,富邦悍將,樂天桃猿,1,10
233,味全龍,統一7-ELEVEn獅,2,8
234,中信兄弟,樂天桃猿,9,11
235,統一7-ELEVEn獅,富邦悍將,4,1
236,中信兄弟,樂天桃猿,7,5
237,統一7-ELEVEn獅,富邦悍將,0,5
238,味全龍,樂天桃猿,1,7
239,中信兄弟,富邦悍將,1,6
240,味全龍,樂天桃猿,6,3
241,統一7-ELEVEn獅,中信兄弟,1,2
242,味全龍,樂天桃猿,4,2
243,統一7-ELEVEn獅,中信兄弟,5,3
244,味全龍,富邦悍將,2,6
245,統一7-ELEVEn獅,中信兄弟,5,1
246,樂天桃猿,富邦悍將,7,5
247,中信兄弟,味全龍,2,1
248,樂天桃猿,富邦悍將,1,1
249,中信兄弟,味全龍,3,4
250,統一7-ELEVEn獅,富邦悍將,10,5
251,樂天桃猿,味全龍,1,3
252,統一7-ELEVEn獅,富邦悍將,6,0
253,中信兄弟,樂天桃猿,5,3
254,統一7-ELEVEn獅,富邦悍將,1,2
255,中信兄弟,樂天桃猿,9,4
256,統一7-ELEVEn獅,味全龍,7,0
257,中信兄弟,樂天桃猿,3,4
258,富邦悍將,味全龍,0,11
259,富邦悍將,味全龍,4,5
260,樂天桃猿,統一7-ELEVEn獅,11,5
261,中信兄弟,味全龍,3,2
262,樂天桃猿,統一7-ELEVEn獅,2,8
263,中信兄弟,味全龍,1,2
264,富邦悍將,統一7-ELEVEn獅,5,6
265,中信兄弟,味全龍,3,1
266,樂天桃猿,富邦悍將,4,1
267,中信兄弟,統一7-ELEVEn獅,1,4
268,樂天桃猿,富邦悍將,4,1
269,味全龍,統一7-ELEVEn獅,3,0
270,樂天桃猿,富邦悍將,1,3
271,味全龍,富邦悍將,0,1
272,樂天桃猿,中信兄弟,5,6
273,統一7-ELEVEn獅,富邦悍將,0,1
274,味全龍,中信兄弟,6,1
275,統一7-ELEVEn獅,樂天桃猿,1,6
276,味全龍,中信兄弟,6,9
