game_id,away_team,home_team,away_score,home_score
001,統一7-ELEVEn獅,中信兄弟,6,4
002,富邦悍將,中信兄弟,2,8
003,味全龍,統一7-ELEVEn獅,11,3
004,中信兄弟,富邦悍將,4,1
005,味全龍,統一7-ELEVEn獅,6,4
006,中信兄弟,樂天桃猿,2,8
007,味全龍,統一7-ELEVEn獅,0,4
008,樂天桃猿,富邦悍將,5,2
009,中信兄弟,富邦悍將,6,7
010,樂天桃猿,統一7-ELEVEn獅,8,9
011,味全龍,富邦悍將,3,2
012,中信兄弟,樂天桃猿,0,2
013,統一7-ELEVEn獅,富邦悍將,8,4
014,中信兄弟,樂天桃猿,0,5
015,樂天桃猿,統一7-ELEVEn獅,7,6
016,味全龍,中信兄弟,6,5
017,樂天桃猿,統一7-ELEVEn獅,4,5
018,味全龍,統一7-ELEVEn獅,5,6
019,富邦悍將,中信兄弟,2,5
020,樂天桃猿,味全龍,8,2
021,富邦悍將,中信兄弟,6,13
022,樂天桃猿,味全龍,6,3
023,富邦悍將,統一7-ELEVEn獅,0,6
024,樂天桃猿,味全龍,3,2
025,中信兄弟,統一7-ELEVEn獅,5,5
026,味全龍,中信兄弟,11,5
027,富邦悍將,樂天桃猿,1,4
028,味全龍,中信兄弟,0,9
029,統一7-ELEVEn獅,樂天桃猿,1,3
030,富邦悍將,中信兄弟,3,1
031,統一7-ELEVEn獅,樂天桃猿,2,3
032,統一7-ELEVEn獅,樂天桃猿,6,5
033,味全龍,富邦悍將,3,2
034,統一7-ELEVEn獅,中信兄弟,5,11
035,味全龍,富邦悍將,9,0
036,樂天桃猿,中信兄弟,3,5
037,味全龍,富邦悍將,7,3
038,統一7-ELEVEn獅,味全龍,1,7
039,富邦悍將,樂天桃猿,3,5
040,中信兄弟,味全龍,7,8
041,富邦悍將,樂天桃猿,1,5
042,中信兄弟,味全龍,0,8
043,統一7-ELEVEn獅,樂天桃猿,8,8
044,中信兄弟,味全龍,9,1
045,富邦悍將,統一7-ELEVEn獅,3,5
046,中信兄弟,樂天桃猿,4,0
047,富邦悍將,統一7-ELEVEn獅,0,5
048,味全龍,樂天桃猿,2,10
049,富邦悍將,統一7-ELEVEn獅,5,2
050,統一7-ELEVEn獅,味全龍,3,2
051,中信兄弟,富邦悍將,9,0
052,統一7-ELEVEn獅,味全龍,13,6
053,樂天桃猿,富邦悍將,1,3
054,中信兄弟,味全龍,4,1
055,樂天桃猿,富邦悍將,7,3
056,樂天桃猿,富邦悍將,3,1
057,統一7-ELEVEn獅,中信兄弟,2,3
058,樂天桃猿,味全龍,4,1
059,統一7-ELEVEn獅,中信兄弟,3,4
060,富邦悍將,味全龍,1,3
061,統一7-ELEVEn獅,中信兄弟,4,3
062,中信兄弟,統一7-ELEVEn獅,1,5
063,富邦悍將,樂天桃猿,0,3
064,中信兄弟,統一7-ELEVEn獅,4,2
065,味全龍,樂天桃猿,1,10
066,富邦悍將,統一7-ELEVEn獅,1,6
067,味全龍,樂天桃猿,10,3
068,味全龍,樂天桃猿,5,6
069,中信兄弟,富邦悍將,8,2
070,味全龍,統一7-ELEVEn獅,3,1
071,中信兄弟,富邦悍將,5,5
072,樂天桃猿,統一7-ELEVEn獅,7,2
073,中信兄弟,富邦悍將,3,1
074,富邦悍將,味全龍,7,3
075,樂天桃猿,統一7-ELEVEn獅,1,3
076,富邦悍將,味全龍,4,7
077,中信兄弟,統一7-ELEVEn獅,2,3
078,樂天桃猿,味全龍,5,3
079,中信兄弟,統一7-ELEVEn獅,0,7
080,中信兄弟,統一7-ELEVEn獅,10,1
081,富邦悍將,樂天桃猿,9,6
082,中信兄弟,味全龍,6,7
083,富邦悍將,樂天桃猿,7,0
084,統一7-ELEVEn獅,味全龍,7,1
085,富邦悍將,樂天桃猿,5,2
086,統一7-ELEVEn獅,味全龍,3,11
087,樂天桃猿,中信兄弟,3,4
088,富邦悍將,味全龍,2,8
089,樂天桃猿,中信兄弟,3,8
090,富邦悍將,味全龍,5,8
091,富邦悍將,味全龍,2,5
092,樂天桃猿,統一7-ELEVEn獅,1,2
093,富邦悍將,中信兄弟,0,1
094,樂天桃猿,統一7-ELEVEn獅,8,0
095,味全龍,中信兄弟,3,9
096,樂天桃猿,統一7-ELEVEn獅,3,2
097,統一7-ELEVEn獅,富邦悍將,3,1
098,味全龍,中信兄弟,5,4
099,統一7-ELEVEn獅,富邦悍將,6,3
100,樂天桃猿,中信兄弟,0,1
101,味全龍,富邦悍將,2,1
102,樂天桃猿,中信兄弟,4,3
103,樂天桃猿,中信兄弟,8,2
104,統一7-ELEVEn獅,味全龍,2,1
